"subgroup","breakdown","Employed","EmployedLast","growth","EmployedFemale","femalePerc","Underepresented","Overepreseneted","Earnings","population","populationLast","growthEarn","EarnPop","EarnPopLast"
"All occupations","4-digit occupation SOC2010",27417900,27523500,-0.00383672134721238,13047100,0.475860660371509,NA,NA,31646,22341,22447,0.0317217096469207,707003286,688516831
"Chief executives and senior officials","4-digit occupation SOC2010",99600,93300,0.067524115755627,31000,0.311244979919679,"West Midlands","London",111760,85,87,-0.214059170598949,9499600,12371313
"Elected officers and representatives","4-digit occupation SOC2010",8700,10400,-0.163461538461538,4200,0.482758620689655,"North West","London",NA,NA,NA,NA,NA,NA
"Production managers and directors in manufacturing","4-digit occupation SOC2010",289900,270600,0.0713229859571323,47900,0.165229389444636,"London","North West",53823,526,544,-0.0355338135684335,28310898,30358464
"Production managers and directors in construction","4-digit occupation SOC2010",165800,185800,-0.107642626480086,15000,0.0904704463208685,"London","East",53703,101,92,-0.0164105569699079,5424003,5023108
"Production managers and directors in mining and energy","4-digit occupation SOC2010",9000,14900,-0.395973154362416,1900,0.211111111111111,"London","North West",NA,NA,10,NA,NA,554910
"Financial managers and directors","4-digit occupation SOC2010",348700,319900,0.0900281337918099,149700,0.429308861485518,"North West","London",76840,329,290,-0.0285959899876109,25280360,22939580
"Marketing and sales directors","4-digit occupation SOC2010",226700,254100,-0.107831562377017,71300,0.314512571680635,"North East","London",85105,186,175,-0.0357138810519279,15829530,15444975
"Purchasing managers and directors","4-digit occupation SOC2010",66800,57100,0.169877408056042,23100,0.345808383233533,"London","East",53397,65,59,-0.0490124490195729,3470805,3312791
"Advertising and public relations directors","4-digit occupation SOC2010",30300,42200,-0.281990521327014,10000,0.33003300330033,"East Midlands","London",NA,12,10,NA,NA,653100
"Human resource managers and directors","4-digit occupation SOC2010",195000,192700,0.0119356512714063,110700,0.567692307692308,"Yorkshire and The Humber","London",52826,118,121,-0.0054035735130759,6233468,6426673
"Information technology and telecommunications directors","4-digit occupation SOC2010",121800,110500,0.102262443438914,14600,0.119868637110016,"North West","South East",79009,31,30,0.0335810156720128,2449279,2293260
"Functional managers and directors n.e.c.","4-digit occupation SOC2010",106100,108200,-0.0194085027726433,47300,0.445805843543827,"North West","London",60642,61,64,0.0157448661686376,3699162,3820928
"Financial institution managers and directors","4-digit occupation SOC2010",86400,76200,0.133858267716535,28200,0.326388888888889,"South West","London",78181,67,59,0.141745162468054,5238127,4040025
"Managers and directors in transport and distribution","4-digit occupation SOC2010",76900,70300,0.0938833570412518,19900,0.258777633289987,"London","South East",44286,73,66,-0.00534543167729764,3232878,2938584
"Managers and directors in storage and warehousing","4-digit occupation SOC2010",89200,97500,-0.0851282051282051,20400,0.228699551569507,"South East","East Midlands",32523,108,116,0.00485076932583575,3512484,3754456
"Officers in armed forces","4-digit occupation SOC2010",28800,27100,0.0627306273062731,2500,0.0868055555555556,"London","South West",NA,NA,NA,NA,NA,NA
"Senior police officers","4-digit occupation SOC2010",10700,8100,0.320987654320988,1900,0.177570093457944,"East","South East",58923,11,9,-0.00285994720097475,648153,531828
"Senior officers in fire, ambulance, prison and related services","4-digit occupation SOC2010",14400,8900,0.617977528089888,2200,0.152777777777778,"North West","East",46748,NA,9,0.00602565206163381,NA,418212
"Health services and public health managers and directors","4-digit occupation SOC2010",70700,63500,0.113385826771654,47600,0.673267326732673,"South West","East",48695,49,40,-0.0247736922214211,2386055,1997280
"Social services managers and directors","4-digit occupation SOC2010",30900,27700,0.115523465703971,22600,0.731391585760518,"West Midlands","South West",39156,17,16,-0.0272767923684603,665652,644064
"Managers and directors in retail and wholesale","4-digit occupation SOC2010",278700,298100,-0.0650788326065079,98200,0.352350197344815,"North East","East Midlands",33808,314,305,0.0179759718165668,10615712,10129355
"Managers and proprietors in agriculture and horticulture","4-digit occupation SOC2010",16700,19800,-0.156565656565657,3700,0.221556886227545,"North West","South West",33461,16,13,0.0799096336937228,535376,402805
"Managers and proprietors in forestry, fishing and related services","4-digit occupation SOC2010",9500,8500,0.117647058823529,4600,0.484210526315789,"South East","East Midlands",30247,NA,NA,0.0596251532667718,NA,NA
"Hotel and accommodation managers and proprietors","4-digit occupation SOC2010",43800,43100,0.0162412993039443,26400,0.602739726027397,"London","South West",33185,18,16,-0.0282007731053063,597330,546368
"Restaurant and catering establishment managers and proprietors","4-digit occupation SOC2010",108700,124400,-0.12620578778135,50500,0.46458141674333,"South East","London",26121,41,46,-0.0161952468833566,1070961,1221346
"Publicans and managers of licensed premises","4-digit occupation SOC2010",32400,33600,-0.0357142857142857,16500,0.509259259259259,"South East","West Midlands",38310,NA,NA,0.391673931996513,NA,NA
"Leisure and sports managers","4-digit occupation SOC2010",49400,47900,0.0313152400835073,23200,0.469635627530364,"East","North West",38166,33,33,0.154551229694165,1259478,1090881
"Travel agency managers and proprietors","4-digit occupation SOC2010",7000,5300,0.320754716981132,5900,0.842857142857143,"North West","East",NA,NA,NA,NA,NA,NA
"Health care practice managers","4-digit occupation SOC2010",22700,22200,0.0225225225225225,18700,0.823788546255507,"East Midlands","West Midlands",33468,18,16,0.0518243816587573,602424,509104
"Residential, day and domiciliary care managers and proprietors","4-digit occupation SOC2010",46200,55200,-0.16304347826087,37900,0.82034632034632,"London","South West",NA,NA,NA,NA,NA,NA
"Property, housing and estate managers","4-digit occupation SOC2010",169900,177600,-0.0433558558558559,68600,0.403766921718658,"North West","South East",47869,105,104,0.278381626385365,5026245,3894280
"Garage managers and proprietors","4-digit occupation SOC2010",21900,22200,-0.0135135135135135,2700,0.123287671232877,"North West","North East",NA,NA,NA,NA,NA,NA
"Hairdressing and beauty salon managers and proprietors","4-digit occupation SOC2010",23800,21600,0.101851851851852,19300,0.810924369747899,"London","North West",21967,NA,NA,-0.0312665373081672,NA,NA
"Shopkeepers and proprietors: wholesale and retail","4-digit occupation SOC2010",90400,100100,-0.0969030969030969,40200,0.444690265486726,"London","South West",NA,NA,NA,NA,NA,NA
"Waste disposal and environmental services managers","4-digit occupation SOC2010",10100,12900,-0.217054263565891,1700,0.168316831683168,"London","South West",50633,NA,NA,0.0131868571657262,NA,NA
"Managers and proprietors in other services n.e.c.","4-digit occupation SOC2010",200100,196400,0.0188391038696538,75900,0.379310344827586,"West Midlands","London",35719,81,77,0.00182307735457452,2893239,2745358
"Chemical scientists","4-digit occupation SOC2010",25300,21200,0.193396226415094,10700,0.422924901185771,"South West","Yorkshire and The Humber",37472,11,11,0.0474939199955274,412192,393503
"Biological scientists and biochemists","4-digit occupation SOC2010",70400,63000,0.117460317460317,39200,0.556818181818182,"West Midlands","East",38976,42,49,0.025414364640884,1636992,1862490
"Physical scientists","4-digit occupation SOC2010",21000,20100,0.0447761194029851,4700,0.223809523809524,"North West","South East",41980,NA,10,-0.0766320605314095,NA,454640
"Social and humanities scientists","4-digit occupation SOC2010",28100,26100,0.0766283524904215,15100,0.537366548042705,"East","London",32848,NA,NA,0.0392634542980985,NA,NA
"Natural and social science professionals n.e.c.","4-digit occupation SOC2010",66700,49400,0.350202429149798,34600,0.518740629685157,"West Midlands","London",39310,39,42,0.020455843414153,1533090,1617924
"Civil engineers","4-digit occupation SOC2010",61000,71600,-0.14804469273743,9200,0.150819672131148,"West Midlands","South East",42961,43,41,0.00980161714930425,1847323,1744304
"Mechanical engineers","4-digit occupation SOC2010",72200,67000,0.0776119402985075,4800,0.0664819944598338,"London","West Midlands",45447,30,29,-0.0245959693516193,1363410,1351197
"Electrical engineers","4-digit occupation SOC2010",46800,43200,0.0833333333333333,3800,0.0811965811965812,"East","West Midlands",52920,24,20,0.0485852421336292,1270080,1009360
"Electronics engineers","4-digit occupation SOC2010",26100,26300,-0.00760456273764259,2400,0.0919540229885057,"London","South West",41692,NA,NA,-0.100379768686346,NA,NA
"Design and development engineers","4-digit occupation SOC2010",71200,69100,0.0303907380607815,12100,0.169943820224719,"London","South West",43423,86,79,0.035261300781995,3734378,3313576
"Production and process engineers","4-digit occupation SOC2010",36700,40700,-0.0982800982800983,4600,0.125340599455041,"London","West Midlands",41964,50,45,0.0196078431372549,2098200,1852065
"Engineering professionals n.e.c.","4-digit occupation SOC2010",112100,104800,0.0696564885496183,17400,0.155218554861731,"London","West Midlands",43889,161,147,0.011756840867701,7066129,6376713
"IT specialist managers","4-digit occupation SOC2010",203200,186900,0.0872124130551097,43700,0.21505905511811,"West Midlands","London",54803,152,153,0.0602859519801884,8330056,7908111
"IT project and programme managers","4-digit occupation SOC2010",76800,56600,0.356890459363958,19600,0.255208333333333,"North West","London",48647,19,19,-0.086424158200154,924293,1011731
"IT business analysts, architects and systems designers","4-digit occupation SOC2010",133600,134100,-0.00372856077554064,22000,0.164670658682635,"East","London",54308,111,102,0.0544833210360763,6028188,5253204
"Programmers and software development professionals","4-digit occupation SOC2010",369300,344300,0.0726110949753122,47600,0.128892499323044,"East Midlands","London",46341,209,208,0.00715030861514388,9685269,9570496
"Web design and development professionals","4-digit occupation SOC2010",58100,52900,0.0982986767485822,15400,0.265060240963855,"East Midlands","South West",30307,46,37,-0.093744393277914,1394122,1237354
"Information technology and telecommunications professionals n.e.c.","4-digit occupation SOC2010",178800,178900,-0.000558971492453885,40900,0.228747203579418,"Yorkshire and The Humber","London",40696,114,92,-0.0577012132999907,4639344,3973296
"Conservation professionals","4-digit occupation SOC2010",13200,12600,0.0476190476190476,7700,0.583333333333333,"South East","London",32279,10,10,-0.00646372618424698,322790,324890
"Environment professionals","4-digit occupation SOC2010",35100,34200,0.0263157894736842,15800,0.45014245014245,"North East","London",37006,34,31,0.0145579163810829,1258204,1130725
"Research and development managers","4-digit occupation SOC2010",50200,47900,0.0480167014613779,22200,0.442231075697211,"East Midlands","South East",51390,58,56,0.0583002121130995,2980620,2719304
"Medical practitioners","4-digit occupation SOC2010",270200,244000,0.107377049180328,136000,0.503330866025167,"South East","London",66483,207,189,-0.059020848371619,13761981,13353417
"Psychologists","4-digit occupation SOC2010",29400,31400,-0.0636942675159236,23200,0.789115646258503,"North West","London",39414,25,25,0.0334303468890112,985350,953475
"Pharmacists","4-digit occupation SOC2010",56500,56300,0.00355239786856128,35400,0.626548672566372,"South West","London",37328,52,45,0.0307615839178218,1941056,1629630
"Ophthalmic opticians","4-digit occupation SOC2010",20200,13300,0.518796992481203,12000,0.594059405940594,"South West","London",32593,10,NA,-0.064709595959596,325930,NA
"Dental practitioners","4-digit occupation SOC2010",41500,36100,0.149584487534626,20400,0.491566265060241,"East","London",47503,NA,NA,-0.168539522509277,NA,NA
"Veterinarians","4-digit occupation SOC2010",22900,22600,0.0132743362831858,12400,0.541484716157205,"London","East Midlands",34471,NA,NA,-0.0221825092899895,NA,NA
"Medical radiographers","4-digit occupation SOC2010",28400,28500,-0.00350877192982456,19900,0.700704225352113,"Yorkshire and The Humber","North East",34905,27,32,0.0357259428503605,942435,1078432
