"metric","breakdown","subgroup","geogConcat","Sector"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","East","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","East","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","East","Science and tech"
"Employed","4-digit occupation SOC2020","IT managers","East","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","East","Science and tech"
"Employed","4-digit occupation SOC2020","Marketing, sales and advertising directors","East","Science and tech"
"Employed","4-digit occupation SOC2020","Construction and building trades n.e.c.","East","Science and tech"
"Employed","4-digit occupation SOC2020","Construction and building trades n.e.c.","East","Science and tech"
"Employed","4-digit occupation SOC2020","Finance and investment analysts and advisers","East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Marketing, sales and advertising directors","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","East Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","England","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","England","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","England","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","England","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","England","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","England","Science and tech"
"Employed","4-digit occupation SOC2020","Finance and investment analysts and advisers","England","Science and tech"
"Employed","4-digit occupation SOC2020","Marketing, sales and advertising directors","England","Science and tech"
"Employed","4-digit occupation SOC2020","IT managers","England","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","England","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","London","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","London","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","London","Science and tech"
"Employed","4-digit occupation SOC2020","Finance and investment analysts and advisers","London","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","London","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","London","Science and tech"
"Employed","4-digit occupation SOC2020","Management consultants and business analysts","London","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","London","Science and tech"
"Employed","4-digit occupation SOC2020","Finance and investment analysts and advisers","London","Science and tech"
"Employed","4-digit occupation SOC2020","Marketing, sales and advertising directors","London","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Generalist medical practitioners","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","North East","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","North East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","North West","Science and tech"
"Employed","4-digit occupation SOC2020","IT managers","North West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Farmers","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Farmers","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","Northern Ireland","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Carpenters and joiners","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Carpenters and joiners","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Marketing, sales and advertising directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Human resource managers and directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Construction and building trades n.e.c.","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Construction and building trades n.e.c.","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Wales","Science and tech"
