SOC2020code,SOC2020desc,Sector,Source
1111,Chief executives and senior officials,Science and tech,UFS STEM List
1112,Elected officers and representatives,Science and tech,UFS STEM List
1121,Production managers and directors in manufacturing,Science and tech,UFS STEM List
1122,Production managers and directors in construction,Science and tech,UFS STEM List
1123,Production managers and directors in mining and energy,Science and tech,UFS STEM List
1131,Financial managers and directors,Science and tech,UFS STEM List
1132,"Marketing, sales and advertising directors",Science and tech,UFS STEM List
1133,Public relations and communications directors,Science and tech,UFS STEM List
1134,Purchasing managers and directors,Science and tech,UFS STEM List
1135,Charitable organisation managers and directors,Science and tech,UFS STEM List
1136,Human resource managers and directors,Science and tech,UFS STEM List
1137,Information technology directors,Science and tech,UFS STEM List
1139,Functional managers and directors n.e.c.,Science and tech,UFS STEM List
1171,Health services and public health managers and directors,Science and tech,UFS STEM List
1172,Social services managers and directors,Science and tech,UFS STEM List
1211,Managers and proprietors in agriculture and horticulture,Science and tech,UFS STEM List
1212,"Managers and proprietors in forestry, fishing and related services",Science and tech,UFS STEM List
1231,Health care practice managers,Science and tech,UFS STEM List
1232,"Residential, day and domiciliary care managers and proprietors",Science and tech,UFS STEM List
1243,Managers in logistics,Science and tech,UFS STEM List
2111,Chemical scientists,Science and tech,UFS STEM List
2112,Biological scientists,Science and tech,UFS STEM List
2113,Biochemists and biomedical scientists,Science and tech,UFS STEM List
2114,Physical scientists,Science and tech,UFS STEM List
2115,Social and humanities scientists,Science and tech,UFS STEM List
2119,Natural and social science professionals n.e.c.,Science and tech,UFS STEM List
2121,Civil engineers,Science and tech,UFS STEM List
2122,Mechanical engineers,Science and tech,UFS STEM List
2123,Electrical engineers,Science and tech,UFS STEM List
2124,Electronics engineers,Science and tech,UFS STEM List
2125,Production and process engineers,Science and tech,UFS STEM List
2126,Aerospace engineers,Science and tech,UFS STEM List
2127,Engineering project managers and project engineers,Science and tech,UFS STEM List
2129,Engineering professionals n.e.c.,Science and tech,UFS STEM List
2131,IT project managers,Science and tech,UFS STEM List
2132,IT managers,Science and tech,UFS STEM List
2133,"IT business analysts, architects and systems designers",Science and tech,UFS STEM List
2134,Programmers and software development professionals ,Science and tech,UFS STEM List
2135,Cyber security professionals,Science and tech,UFS STEM List
2136,IT quality and testing professionals,Science and tech,UFS STEM List
2137,IT network professionals,Science and tech,UFS STEM List
2139,Information technology professionals n.e.c.,Science and tech,UFS STEM List
2141,Web design professionals,Science and tech,UFS STEM List
2151,Conservation professionals,Science and tech,UFS STEM List
2152,Environment professionals,Science and tech,UFS STEM List
2161,Research and development (R&D) managers ,Science and tech,UFS STEM List
2162,"Other researchers, unspecified discipline",Science and tech,UFS STEM List
2211,Generalist medical practitioners,Science and tech,UFS STEM List
2212,Specialist medical practitioners,Science and tech,UFS STEM List
2221,Physiotherapists,Science and tech,UFS STEM List
2222,Occupational therapists,Science and tech,UFS STEM List
2223,Speech and language therapists,Science and tech,UFS STEM List
2224,Psychotherapists and cognitive behaviour therapists,Science and tech,UFS STEM List
2225,Clinical psychologists,Science and tech,UFS STEM List
